Date,Instrument,Price Close
2023-01-30,.SPX,4017.77
2023-01-31,.SPX,4076.6
2023-02-01,.SPX,4119.21
2023-02-02,.SPX,4179.76
2023-02-03,.SPX,4136.48
2023-02-06,.SPX,4111.08
2023-02-07,.SPX,4164.0
2023-02-08,.SPX,4117.86
2023-02-09,.SPX,4081.5
2023-02-10,.SPX,4090.46
2023-02-13,.SPX,4137.29
2023-02-14,.SPX,4136.13
2023-02-15,.SPX,4147.6
2023-02-16,.SPX,4090.41
2023-02-17,.SPX,4079.09
2023-02-17,.SPX,4079.09
2023-02-21,.SPX,3997.34
2023-02-22,.SPX,3991.05
2023-02-23,.SPX,4012.32
2023-02-24,.SPX,3970.04
2023-02-27,.SPX,3982.24
2023-02-28,.SPX,3970.15
2023-03-01,.SPX,3951.39
2023-03-02,.SPX,3981.35
2023-03-03,.SPX,4045.64
2023-03-06,.SPX,4048.42
2023-03-07,.SPX,3986.37
2023-03-08,.SPX,3992.01
2023-03-09,.SPX,3918.32
2023-03-10,.SPX,3861.59
2023-03-13,.SPX,3855.76
2023-03-14,.SPX,3919.29
2023-03-15,.SPX,3891.93
2023-03-16,.SPX,3960.28
2023-03-17,.SPX,3916.64
2023-03-20,.SPX,3951.57
2023-03-21,.SPX,4002.87
2023-03-22,.SPX,3936.97
2023-03-23,.SPX,3948.72
2023-03-24,.SPX,3970.99
2023-03-27,.SPX,3977.53
2023-03-28,.SPX,3971.27
2023-03-29,.SPX,4027.81
2023-03-30,.SPX,4050.83
2023-03-31,.SPX,4109.31
2023-04-03,.SPX,4124.51
2023-04-04,.SPX,4100.6
2023-04-05,.SPX,4090.38
2023-04-06,.SPX,4105.02
2023-04-06,.SPX,4105.02
2023-04-10,.SPX,4109.11
2023-04-11,.SPX,4108.94
2023-04-12,.SPX,4091.95
2023-04-13,.SPX,4146.22
2023-04-14,.SPX,4137.64
2023-04-17,.SPX,4151.32
2023-04-18,.SPX,4154.87
2023-04-19,.SPX,4154.52
2023-04-20,.SPX,4129.79
2023-04-21,.SPX,4133.52
2023-04-24,.SPX,4137.04
2023-04-25,.SPX,4071.63
2023-04-26,.SPX,4055.99
2023-04-27,.SPX,4135.35
2023-04-28,.SPX,4169.48
2023-05-01,.SPX,4167.87
2023-05-02,.SPX,4119.58
2023-05-03,.SPX,4090.75
2023-05-04,.SPX,4061.22
2023-05-05,.SPX,4136.25
2023-05-08,.SPX,4138.12
2023-05-09,.SPX,4119.17
2023-05-10,.SPX,4137.64
2023-05-11,.SPX,4130.62
2023-05-12,.SPX,4124.08
2023-05-15,.SPX,4136.28
2023-05-16,.SPX,4109.9
2023-05-17,.SPX,4158.77
2023-05-18,.SPX,4198.05
2023-05-19,.SPX,4191.98
2023-05-22,.SPX,4192.63
2023-05-23,.SPX,4145.58
2023-05-24,.SPX,4115.24
2023-05-25,.SPX,4151.28
2023-05-26,.SPX,4205.45
2023-05-26,.SPX,4205.45
2023-05-30,.SPX,4205.52
2023-05-31,.SPX,4179.83
2023-06-01,.SPX,4221.02
2023-06-02,.SPX,4282.37
2023-06-05,.SPX,4273.79
2023-06-06,.SPX,4283.85
2023-06-07,.SPX,4267.52
2023-06-08,.SPX,4293.93
2023-06-09,.SPX,4298.86
2023-06-12,.SPX,4338.93
2023-06-13,.SPX,4369.01
2023-06-14,.SPX,4372.59
